kon,koff,t,complex
1.0,0.15,46.0,0.6806021367772527
1.0,0.15,48.0,0.6804263912619682
1.0,0.15,50.0,0.6805283591615007
1.0,0.15,52.0,0.6804885349847145
1.0,0.15,54.0,0.6804993240060959
1.0,0.15,56.0,0.6805257593236723
1.0,0.15,58.0,0.6804494764902457
1.0,0.15,60.0,0.680492133003904
1.0,0.2,0.0,0.0
1.0,0.2,2.0,0.5771216011689407
1.0,0.2,4.0,0.631984844589974
1.0,0.2,6.0,0.6401936451308964
1.0,0.2,8.0,0.6414971088843129
1.0,0.2,10.0,0.6417044470490858
1.0,0.2,12.0,0.6417369680289248
1.0,0.2,14.0,0.6417404471608216
1.0,0.2,16.0,0.641742726294551
1.0,0.2,18.0,0.6417440080944621
1.0,0.2,20.0,0.6417448008596969
1.0,0.2,22.0,0.6417405462146434
1.0,0.2,24.0,0.6417741682200623
1.0,0.2,26.0,0.6417172761779065
1.0,0.2,28.0,0.6418316035779912
1.0,0.2,30.0,0.6417766829391442
1.0,0.2,32.0,0.6416846750407803
1.0,0.2,34.0,0.6419381635365259
1.0,0.2,36.0,0.6415243888167018
1.0,0.2,38.0,0.641918554270873
1.0,0.2,40.0,0.6415810554670512
1.0,0.2,42.0,0.6418091239741206
1.0,0.2,44.0,0.64170643662142
1.0,0.2,46.0,0.6417269496756426
1.0,0.2,48.0,0.6417772938486216
1.0,0.2,50.0,0.641684591973551
1.0,0.2,52.0,0.6418083763473684
1.0,0.2,54.0,0.6416630078175023
1.0,0.2,56.0,0.6418252837843443
1.0,0.2,58.0,0.6416474635021747
1.0,0.2,60.0,0.6417209404841797
1.0,0.25,0.0,0.0
1.0,0.25,2.0,0.5584442858677474
1.0,0.25,4.0,0.6033728039779007
1.0,0.25,6.0,0.6088232043949663
1.0,0.25,8.0,0.609511400202096
1.0,0.25,10.0,0.6095981898841769
1.0,0.25,12.0,0.6096107608993901
1.0,0.25,14.0,0.609613034319387
1.0,0.25,16.0,0.6096097963574447
1.0,0.25,18.0,0.609620554811601
1.0,0.25,20.0,0.6096037639916416
1.0,0.25,22.0,0.6096619875266739
1.0,0.25,24.0,0.6095886451614032
1.0,0.25,26.0,0.609721474877342
1.0,0.25,28.0,0.6096010182470397
1.0,0.25,30.0,0.6097212205912859
1.0,0.25,32.0,0.6095070972434062
1.0,0.25,34.0,0.6097785084362218
1.0,0.25,36.0,0.609362153094809
1.0,0.25,38.0,0.609714392322508
1.0,0.25,40.0,0.6095847894234784
1.0,0.25,42.0,0.6095467127367299
1.0,0.25,44.0,0.6096957598811164
1.0,0.25,46.0,0.6095146292421892
1.0,0.25,48.0,0.6096679884289014
1.0,0.25,50.0,0.6096141193539203
1.0,0.25,52.0,0.6095767096422251
1.0,0.25,54.0,0.6096992306302654
1.0,0.25,56.0,0.6094958173199109
1.0,0.25,58.0,0.6097141089430267
1.0,0.25,60.0,0.60952578156976
1.0,0.3,0.0,0.0
1.0,0.3,2.0,0.5409711321381753
1.0,0.3,4.0,0.5779998155783904
1.0,0.3,6.0,0.5816882500266322
1.0,0.3,8.0,0.5820633034580045
1.0,0.3,10.0,0.5821031285975717
1.0,0.3,12.0,0.5821073669825847
1.0,0.3,14.0,0.5821113378180716
1.0,0.3,16.0,0.5821109435988795
1.0,0.3,18.0,0.5821156122030209
1.0,0.3,20.0,0.5821212698871442
1.0,0.3,22.0,0.5821497901611163
1.0,0.3,24.0,0.5821161414960134
1.0,0.3,26.0,0.5821690413909424
1.0,0.3,28.0,0.5822286795298578
1.0,0.3,30.0,0.5818668713335041
1.0,0.3,32.0,0.5822909974772694
1.0,0.3,34.0,0.5820676460573491
1.0,0.3,36.0,0.5819703348340112
1.0,0.3,38.0,0.5821920885143184
1.0,0.3,40.0,0.5821208852460443
1.0,0.3,42.0,0.5820148162914384
1.0,0.3,44.0,0.5821930901132455
1.0,0.3,46.0,0.5821042835878091
1.0,0.3,48.0,0.5820427372469141
1.0,0.3,50.0,0.5822193440134779
1.0,0.3,52.0,0.5820418684455448
1.0,0.3,54.0,0.5820933201409525
1.0,0.3,56.0,0.5822145272022781
1.0,0.3,58.0,0.5819912355349309
1.0,0.3,60.0,0.5820893443278641
1.5,0.05,0.0,0.0
1.5,0.05,2.0,0.7230858158290688
1.5,0.05,4.0,0.8027640721117929
1.5,0.05,6.0,0.8236937466651745
1.5,0.05,8.0,0.8301804994469256
1.5,0.05,10.0,0.8322900763008951
1.5,0.05,12.0,0.8329874790937033
1.5,0.05,14.0,0.8332185675334364
1.5,0.05,16.0,0.8332938496692545
1.5,0.05,18.0,0.8333211139929667
1.5,0.05,20.0,0.8333285478441436
1.5,0.05,22.0,0.8333324084264229
1.5,0.05,24.0,0.8333321102070005
1.5,0.05,26.0,0.8333337748754209
1.5,0.05,28.0,0.8333334919965378
1.5,0.05,30.0,0.8333325048589091
1.5,0.05,32.0,0.8333354140453394
1.5,0.05,34.0,0.8333360308427381
1.5,0.05,36.0,0.8333320374306675
1.5,0.05,38.0,0.8333311462343477
1.5,0.05,40.0,0.8333479130929241
1.5,0.05,42.0,0.8333511462218872
1.5,0.05,44.0,0.8333287732338782
1.5,0.05,46.0,0.8333131457210227
1.5,0.05,48.0,0.8333762328633121
1.5,0.05,50.0,0.8334078349294148
1.5,0.05,52.0,0.8333207851751209
1.5,0.05,54.0,0.8332560127590846
1.5,0.05,56.0,0.8333485711318448
1.5,0.05,58.0,0.8333411012151243
1.5,0.05,60.0,0.8332917728401045
1.5,0.1,0.0,0.0
1.5,0.1,2.0,0.698397922723598
1.5,0.1,4.0,0.7589406020158289
1.5,0.1,6.0,0.770107315890165
1.5,0.1,8.0,0.7723892758357098
1.5,0.1,10.0,0.7728644803049971
1.5,0.1,12.0,0.7729650304082689
1.5,0.1,14.0,0.7729869611949737
1.5,0.1,16.0,0.7729900866776068
1.5,0.1,18.0,0.7729916776408698
1.5,0.1,20.0,0.772991843337368
1.5,0.1,22.0,0.7729934262258652
1.5,0.1,24.0,0.7729893957616409
1.5,0.1,26.0,0.7730025053605061
1.5,0.1,28.0,0.7729970636881617
1.5,0.1,30.0,0.7729779181899139
1.5,0.1,32.0,0.7730511565870389
1.5,0.1,34.0,0.7730092949247391
1.5,0.1,36.0,0.7729279201019044
1.5,0.1,38.0,0.7731468010871566
1.5,0.1,40.0,0.7729236300509397
1.5,0.1,42.0,0.7730037808233136
1.5,0.1,44.0,0.7730701475673525
1.5,0.1,46.0,0.7728674103871539
1.5,0.1,48.0,0.7730846777219001
1.5,0.1,50.0,0.7728654712815779
1.5,0.1,52.0,0.7730611628993151
1.5,0.1,54.0,0.7729018963095006
1.5,0.1,56.0,0.7730442777769063
1.5,0.1,58.0,0.7729376697037375
1.5,0.1,60.0,0.7729681350126829
1.5,0.15,0.0,0.0
1.5,0.15,2.0,0.6756580564649298
1.5,0.15,4.0,0.7224402689657397
1.5,0.15,6.0,0.7287682979892743
1.5,0.15,8.0,0.7296880222974728
1.5,0.15,10.0,0.7298219371411734
1.5,0.15,12.0,0.7298411369051215
1.5,0.15,14.0,0.7298426775414752
1.5,0.15,16.0,0.7298439979459023
1.5,0.15,18.0,0.7298459319830728
1.5,0.15,20.0,0.7298455477349627
1.5,0.15,22.0,0.7298448456302176
1.5,0.15,24.0,0.7298737320731427
1.5,0.15,26.0,0.7298104714638521
1.5,0.15,28.0,0.7299613454489557
1.5,0.15,30.0,0.729781639525835
1.5,0.15,32.0,0.7299634844943386
1.5,0.15,34.0,0.7297773056187921
1.5,0.15,36.0,0.7299361644580931
1.5,0.15,38.0,0.7297059550979598
1.5,0.15,40.0,0.729940559201182
1.5,0.15,42.0,0.729716149188217
1.5,0.15,44.0,0.7299019175828473
1.5,0.15,46.0,0.7298108209547501
1.5,0.15,48.0,0.7298475483133968
1.5,0.15,50.0,0.7298700412463965
1.5,0.15,52.0,0.7298032619284566
1.5,0.15,54.0,0.7299031765972905
1.5,0.15,56.0,0.7297714236914711
1.5,0.15,58.0,0.7299014943752244
1.5,0.15,60.0,0.7297789240112444
1.5,0.2,0.0,0.0
1.5,0.2,2.0,0.6546278417409968
1.5,0.2,4.0,0.6912843911904353
1.5,0.2,6.0,0.6950333101854769
1.5,0.2,8.0,0.6954329065058288
1.5,0.2,10.0,0.6954757844100261
1.5,0.2,12.0,0.6954816943903506
1.5,0.2,14.0,0.6954842567860378
1.5,0.2,16.0,0.6954804981604108
1.5,0.2,18.0,0.6954921370701919
1.5,0.2,20.0,0.6954720230852937
1.5,0.2,22.0,0.6955427712152402
1.5,0.2,24.0,0.6954164213565268
1.5,0.2,26.0,0.6956534451317138
1.5,0.2,28.0,0.695333311504207
1.5,0.2,30.0,0.6955736071743194
1.5,0.2,32.0,0.6955380007451134
1.5,0.2,34.0,0.6953004714396068
1.5,0.2,36.0,0.6955513145122836
1.5,0.2,38.0,0.6955025723021586
1.5,0.2,40.0,0.6953881100960033
1.5,0.2,42.0,0.6955383932524862
1.5,0.2,44.0,0.6954915683636208
1.5,0.2,46.0,0.6954221338753266
1.5,0.2,48.0,0.6955617430739922
1.5,0.2,50.0,0.6954364106411403
1.5,0.2,52.0,0.695476197374437
1.5,0.2,54.0,0.6955580031322887
1.5,0.2,56.0,0.6953807024452849
1.5,0.2,58.0,0.6955354860151037
1.5,0.2,60.0,0.6954401671026949
1.5,0.25,0.0,0.0
1.5,0.25,2.0,0.6351121604199382
1.5,0.25,4.0,0.6641632117666092
1.5,0.25,6.0,0.6664619565910509
1.5,0.25,8.0,0.6666488198117205
1.5,0.25,10.0,0.6666649652678404
1.5,0.25,12.0,0.6666652483093014
1.5,0.25,14.0,0.6666679187540402
1.5,0.25,16.0,0.6666787834084377
1.5,0.25,18.0,0.6666580666915539
1.5,0.25,20.0,0.6667559415272231
1.5,0.25,22.0,0.6665742987226835
1.5,0.25,24.0,0.666882980800175
1.5,0.25,26.0,0.6665850843281885
1.5,0.25,28.0,0.6665161628095702
1.5,0.25,30.0,0.666787359200226
1.5,0.25,32.0,0.6667143631249521
1.5,0.25,34.0,0.666566977325543
1.5,0.25,36.0,0.6666231707693048
1.5,0.25,38.0,0.6667387412932128
1.5,0.25,40.0,0.6666893427889461
1.5,0.25,42.0,0.666573138682499
1.5,0.25,44.0,0.6667033150028516
1.5,0.25,46.0,0.666745351433092
1.5,0.25,48.0,0.6665853890374114
1.5,0.25,50.0,0.666638987622624
1.5,0.25,52.0,0.6667634806574204
1.5,0.25,54.0,0.6666568257465789
1.5,0.25,56.0,0.6665692869116968
1.5,0.25,58.0,0.6667277648839626
1.5,0.25,60.0,0.6666315105022796
1.5,0.3,0.0,0.0
1.5,0.3,2.0,0.6169466346981443
1.5,0.3,4.0,0.6401936451316816
1.5,0.3,6.0,0.6416414342282462
1.5,0.3,8.0,0.6417369680297521
1.5,0.3,10.0,0.6417432394583902
1.5,0.3,12.0,0.6417440081020218
1.5,0.3,14.0,0.6417386881433893
1.5,0.3,16.0,0.641774168187464
1.5,0.3,18.0,0.6417206293719757
1.5,0.3,20.0,0.6417766827214454
1.5,0.3,22.0,0.641954960381488
1.5,0.3,24.0,0.6415243891067881
1.5,0.3,26.0,0.6415948875113433
1.5,0.3,28.0,0.6418091237922077
1.5,0.3,30.0,0.6418392505115572
1.5,0.3,32.0,0.6417772939856312
1.5,0.3,34.0,0.6416787006490082
1.5,0.3,36.0,0.6416630077192189
1.5,0.3,38.0,0.6417759814572285
1.5,0.3,40.0,0.6418369145295125
1.5,0.3,42.0,0.6417513111581279
1.5,0.3,44.0,0.6416270776157635
1.5,0.3,46.0,0.6417179470653791
1.5,0.3,48.0,0.6418346127144978
1.5,0.3,50.0,0.6418112316631893
1.5,0.3,52.0,0.6416784874755488
1.5,0.3,54.0,0.6416448009840777
1.5,0.3,56.0,0.6417747194934863
1.5,0.3,58.0,0.6418408914492619
1.5,0.3,60.0,0.6416927913603132
2.0,0.05,0.0,0.0
2.0,0.05,2.0,0.7720687820287792
2.0,0.05,4.0,0.8344852031854785
2.0,0.05,6.0,0.8486648958471251
2.0,0.05,8.0,0.8524412323533389
2.0,0.05,10.0,0.8534866655360678
2.0,0.05,12.0,0.8537792822666114
2.0,0.05,14.0,0.8538606582631766
2.0,0.05,16.0,0.8538829192003525
2.0,0.05,18.0,0.8538907696286177
2.0,0.05,20.0,0.8538913752795884
2.0,0.05,22.0,0.8538931430954239
2.0,0.05,24.0,0.8538923287857918
2.0,0.05,26.0,0.8538932850673993
2.0,0.05,28.0,0.8538946204860949
2.0,0.05,30.0,0.8538918063560035
2.0,0.05,32.0,0.8538933694512101
2.0,0.05,34.0,0.8539046776434107
2.0,0.05,36.0,0.8538972667376248
2.0,0.05,38.0,0.8538803275986312
2.0,0.05,40.0,0.8539160450232656
2.0,0.05,42.0,0.853946263025321
2.0,0.05,44.0,0.8538732746038046
2.0,0.05,46.0,0.8538560853278491
2.0,0.05,48.0,0.8539965022911096
2.0,0.05,50.0,0.8538994446163461
2.0,0.05,52.0,0.8537975969679149
2.0,0.05,54.0,0.8539818911404701
2.0,0.05,56.0,0.853872356854712
2.0,0.05,58.0,0.8538207602534011
2.0,0.05,60.0,0.8538718337833658
2.0,0.1,0.0,0.0
2.0,0.1,2.0,0.7467534006111513
2.0,0.1,4.0,0.7919882304582013
2.0,0.1,6.0,0.7986937311498177
2.0,0.1,8.0,0.7997859384828754
2.0,0.1,10.0,0.7999653557313676
2.0,0.1,12.0,0.7999948461483295
2.0,0.1,14.0,0.7999988478065574
2.0,0.1,16.0,0.7999994754851765
2.0,0.1,18.0,0.8000014403880867
2.0,0.1,20.0,0.7999993800131859
2.0,0.1,22.0,0.8000050424215669
2.0,0.1,24.0,0.800007268314839
2.0,0.1,26.0,0.7999882795688197
2.0,0.1,28.0,0.800057997207284
2.0,0.1,30.0,0.7999771579047531
2.0,0.1,32.0,0.8000415458694227
2.0,0.1,34.0,0.8000609775919365
2.0,0.1,36.0,0.7999231875254678
2.0,0.1,38.0,0.8000946893306036
2.0,0.1,40.0,0.7999101925882564
2.0,0.1,42.0,0.8000455291973103
2.0,0.1,44.0,0.79996804813779
2.0,0.1,46.0,0.8000011349945207
2.0,0.1,48.0,0.8000093777004048
2.0,0.1,50.0,0.799977855235414
2.0,0.1,52.0,0.8000288621788461
2.0,0.1,54.0,0.7999665509456484
2.0,0.1,56.0,0.8000392453753048
2.0,0.1,58.0,0.79995916129597
2.0,0.1,60.0,0.7999836378932009
2.0,0.15,0.0,0.0
2.0,0.15,2.0,0.7236207150769446
2.0,0.15,4.0,0.7572109528886409
2.0,0.15,6.0,0.7606601134650628
2.0,0.15,8.0,0.7610379321060102
2.0,0.15,10.0,0.7610789939299316
2.0,0.15,12.0,0.7610831981628019
2.0,0.15,14.0,0.7610822582391786
2.0,0.15,16.0,0.7610850066268499
2.0,0.15,18.0,0.7610852895093972
2.0,0.15,20.0,0.7610933290009725
2.0,0.15,22.0,0.7610782238070246
2.0,0.15,24.0,0.7611423876784124
2.0,0.15,26.0,0.7610349770580167
2.0,0.15,28.0,0.7611699561295876
2.0,0.15,30.0,0.7610961368421022
2.0,0.15,32.0,0.7609758874910387
2.0,0.15,34.0,0.76118561905138
2.0,0.15,36.0,0.761023425086985
2.0,0.15,38.0,0.7610423157094871
2.0,0.15,40.0,0.7611423137220701
2.0,0.15,42.0,0.7610419430836625
2.0,0.15,44.0,0.7610761024449697
2.0,0.15,46.0,0.7611363067411845
2.0,0.15,48.0,0.7610143504432745
2.0,0.15,50.0,0.7611227205481164
2.0,0.15,52.0,0.7611033624162375
2.0,0.15,54.0,0.7610234987023711
2.0,0.15,56.0,0.7611545165172875
2.0,0.15,58.0,0.7610310831073949
2.0,0.15,60.0,0.7610684280279133
2.0,0.2,0.0,0.0
2.0,0.2,2.0,0.7023803848466275
2.0,0.2,4.0,0.7278055423414258
